Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF@50V","C_0603_1608Metric",191.8500,-106.7000,180.0000,top
"C2","100nF@50V","C_0603_1608Metric",35.6500,-157.9500,180.0000,top
"C3","470nF@50V","C_0805_2012Metric",184.8500,-108.9500,180.0000,top
"C4","470nF@50V","C_0805_2012Metric",184.8500,-106.9500,180.0000,top
"C5","100nF@50V","C_0603_1608Metric",188.7000,-106.7000,180.0000,top
"C6","470nF@50V","C_0805_2012Metric",36.2000,-160.4900,90.0000,top
"C7","470nF@50V","C_0805_2012Metric",39.1000,-163.3100,0.0000,top
"C8","100nF@50V","C_0603_1608Metric",35.7000,-163.1000,180.0000,top
"C9","100uF@6.3V","C_1206_3216Metric",23.1000,-162.3000,90.0000,top
"C10","100nF@50V","C_0603_1608Metric",25.1000,-163.7000,90.0000,top
"C11","10uF@50V","C_1206_3216Metric",147.8000,-126.8000,0.0000,top
"C12","10nF","C_0805_2012Metric",141.6000,-119.6000,0.0000,top
"C13","680uF","CP_Elec_10x12.5",165.6000,-120.2000,90.0000,top
"C14","680uF","CP_Elec_10x12.5",176.7000,-100.0000,270.0000,top
"C15","100nF@50V","C_0603_1608Metric",187.7500,-46.9500,90.0000,top
"C16","10uF@50V","C_1206_3216Metric",157.3750,-126.8000,180.0000,top
"C17","100nF@50V","C_0603_1608Metric",126.0500,-159.9000,90.0000,top
"C18","100nF@50V","C_0603_1608Metric",173.6500,-30.1500,0.0000,top
"C19","100nF@50V","C_0603_1608Metric",126.2000,-146.2000,180.0000,top
"C20","100nF@50V","C_0603_1608Metric",137.0000,-145.7500,0.0000,top
"C22","100nF@50V","C_0603_1608Metric",43.5000,-139.5000,270.0000,top
"C23","100nF@50V","C_0603_1608Metric",43.2500,-119.6500,270.0000,top
"C24","10uF@50V","C_1206_3216Metric",154.0000,-108.4000,0.0000,top
"C25","10uF@50V","C_1206_3216Metric",154.0000,-111.0000,0.0000,top
"C26","470nF@50V","C_0805_2012Metric",154.0000,-106.0000,0.0000,top
"C28","2.2uF","C_0805_2012Metric",153.0000,-95.0000,270.0000,top
"C29","470nF@50V","C_0805_2012Metric",155.5000,-95.0000,270.0000,top
"C31","100uF@6.3V","C_1206_3216Metric",161.7500,-108.9000,180.0000,top
"C32","100uF@6.3V","C_1206_3216Metric",161.7500,-111.3000,180.0000,top
"C33","100uF@6.3V","C_1206_3216Metric",168.0000,-111.0000,0.0000,top
"C34","100uF@6.3V","C_1206_3216Metric",168.0000,-108.3000,0.0000,top
"C35","470nF@50V","C_0805_2012Metric",169.0000,-106.0000,0.0000,top
"C36","100nF@50V","C_0603_1608Metric",161.9000,-106.9000,0.0000,top
"C37","100nF@50V","C_0603_1608Metric",161.9000,-105.3000,0.0000,top
"C38","4.7uF@50V","C_1206_3216Metric",153.5000,-67.7500,180.0000,top
"C39","4.7uF@50V","C_1206_3216Metric",153.5000,-65.2500,180.0000,top
"C40","4.7uF@50V","C_1206_3216Metric",164.3000,-65.6028,0.0000,top
"C41","4.7uF@50V","C_1206_3216Metric",152.5665,-62.7609,180.0000,top
"C42","220uF@80V","CP_Radial_D10.0mm_P5.00mm",152.6000,-74.1000,180.0000,top
"C43","4.7uF@50V","C_1206_3216Metric",152.2500,-82.5750,180.0000,top
"C44","4.7uF@50V","C_1206_3216Metric",152.2000,-90.0000,180.0000,top
"C45","4.7uF@50V","C_1206_3216Metric",152.2500,-85.0000,180.0000,top
"C46","4.7uF@50V","C_1206_3216Metric",152.2500,-87.5000,180.0000,top
"C47","220uF@80V","CP_Radial_D10.0mm_P5.00mm",160.0000,-85.4823,270.0000,top
"C48","100nF@50V","C_0603_1608Metric",188.4000,-74.0000,270.0000,top
"C50","220uF@80V","CP_Radial_D10.0mm_P5.00mm",174.3000,-85.4823,270.0000,top
"C51","1uF@50V","C_0805_2012Metric",150.8500,-96.6500,270.0000,top
"C52","100nF@50V","C_0603_1608Metric",154.4500,-139.3000,0.0000,top
"C53","470nF@50V","C_0805_2012Metric",154.0000,-137.0000,0.0000,top
"C54","100nF@50V","C_0603_1608Metric",147.5000,-83.7000,0.0000,top
"C55","4.7uF@50V","C_0805_2012Metric",183.0500,-76.0000,90.0000,top
"C56","4.7uF@50V","C_0805_2012Metric",183.7500,-78.7500,0.0000,top
"C57","470nF@25V","C_0603_1608Metric",47.3000,-164.9750,90.0000,top
"C58","4.7uF@50V","C_0805_2012Metric",183.7500,-80.8000,0.0000,top
"C59","4.7uF@50V","C_0805_2012Metric",178.2000,-82.1000,0.0000,top
"C60","100pF","C_0603_1608Metric",48.8250,-164.9750,90.0000,top
"C61","470nF@25V","C_0603_1608Metric",47.3000,-160.8750,90.0000,top
"C62","4.7uF","C_0805_2012Metric",170.3500,-30.1000,180.0000,top
"C63","100nF@50V","C_0603_1608Metric",180.5500,-176.0000,180.0000,top
"C64","220uF@80V","CP_Radial_D10.0mm_P5.00mm",57.5000,-77.3677,270.0000,top
"C65","220uF@80V","CP_Radial_D10.0mm_P5.00mm",99.0000,-89.3823,270.0000,top
"C66","10uF@50V","C_1206_3216Metric",27.4000,-73.5000,90.0000,top
"C67","10uF@50V","C_1206_3216Metric",46.2000,-73.5000,90.0000,top
"C68","220uF@80V","CP_Radial_D10.0mm_P5.00mm",57.5000,-89.3823,270.0000,top
"C69","220uF@80V","CP_Radial_D10.0mm_P5.00mm",99.0000,-70.3677,90.0000,top
"C70","10uF@50V","C_1206_3216Metric",68.8000,-73.5000,90.0000,top
"C71","10uF@50V","C_1206_3216Metric",87.8000,-73.5000,90.0000,top
"C72","220uF@80V","CP_Radial_D10.0mm_P5.00mm",57.5000,-70.3677,90.0000,top
"C73","220uF@80V","CP_Radial_D10.0mm_P5.00mm",99.0000,-77.3677,270.0000,top
"C74","10uF@50V","C_1206_3216Metric",129.2000,-73.5000,90.0000,top
"C75","10uF@50V","C_1206_3216Metric",110.2000,-73.5000,90.0000,top
"C76","100nF@50V","C_0603_1608Metric",188.4000,-79.6000,90.0000,top
"C77","100nF@50V","C_0603_1608Metric",126.0000,-170.5500,90.0000,top
"C78","4.7uF","C_0805_2012Metric",185.8000,-83.6000,270.0000,top
"C79","100nF@100V","C_0805_2012Metric",196.2000,-85.4000,270.0000,top
"C80","1uF@50V","C_0805_2012Metric",198.2000,-85.4000,270.0000,top
"C81","100nF@100V","C_0805_2012Metric",190.1250,-71.3250,0.0000,top
"C82","100nF@100V","C_0805_2012Metric",196.6000,-67.2000,0.0000,top
"C83","470nF@25V","C_0603_1608Metric",193.6500,-70.2500,0.0000,top
"C84","4.7uF","C_0805_2012Metric",188.4000,-83.0000,270.0000,top
"D1","LED GREEN","LED_0805_2012Metric",172.8375,-111.1000,180.0000,top
"D2","V1FM10-M3/H","D_SMF",194.0000,-86.0000,270.0000,top
"D3","SS54","D_SMA",146.2750,-66.7000,180.0000,top
"D4","SMBJ40CA","D_SMB",150.2000,-55.2000,0.0000,top
"D5","LED GREEN","LED_0805_2012Metric",197.0500,-114.9500,0.0000,top
"D6","LED GREEN","LED_0805_2012Metric",197.0500,-117.2500,0.0000,top
"D7","SMCJ33CA-L","D_SMC",36.8000,-87.2000,270.0000,top
"D11","SMCJ33CA-L","D_SMC",78.2500,-87.2000,270.0000,top
"D15","SS54","D_SMA",144.0000,-107.0000,180.0000,top
"D16","SS54","D_SMA",141.6000,-116.7000,180.0000,top
"D17","SMCJ33CA-L","D_SMC",119.7000,-87.2000,270.0000,top
"D21","PDZ3.3B,115","D_SOD-323",189.6000,-48.4500,90.0000,top
"D22","D_Schottky","D_SOD-123F",100.3000,-187.3000,180.0000,top
"D26","V1FM10-M3/H","D_SMF",191.6000,-86.0000,270.0000,top
"D28","SS54","D_SMA",142.4000,-91.2000,90.0000,top
"D29","LED GREEN","LED_0805_2012Metric",197.0375,-112.6000,0.0000,top
"J1","Conn_02x11_Top_Bottom","Molex_Mini-Fit_Jr_5566-22A_2x11_P4.20mm_Vertical",48.7000,-44.2500,0.0000,top
"J2","Conn_02x04_Top_Bottom","Molex_Mini-Fit_Jr_5566-08A_2x04_P4.20mm_Vertical",98.4500,-44.2500,0.0000,top
"J3","Conn_01x02","Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical",150.1500,-43.0000,0.0000,top
"J4","Conn_01x04","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",35.7000,-168.8000,0.0000,top
"J5","OEM CoverUI","HDR-IDC-2_54-2X8P_C3406",171.4500,-24.1300,0.0000,top
"J6","Conn_01x14_Socket","PinSocket_1x14_P2.54mm_Vertical",155.3500,-33.0200,90.0000,top
"J7","Conn_01x12_Socket","PinSocket_1x12_P2.54mm_Vertical",170.6100,-63.5000,90.0000,top
"J8","Conn_01x03_Pin","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",169.6000,-57.1000,0.0000,top
"J9","Conn_01x03_Pin","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",158.0000,-57.0750,0.0000,top
"J10","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",46.8460,-35.2600,180.0000,top
"J11","SA/SC Perimeter Plug","ZX-HY2_0-9PZZ_C7429585",189.0000,-39.7000,0.0000,top
"J12","Conn_01x03_Pin","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",157.9500,-39.7500,0.0000,top
"J13","Conn_01x03_Pin","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",169.5833,-39.7500,0.0000,top
"J14","Conn_01x03_Pin","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",157.9500,-48.4250,0.0000,top
"J15","Conn_01x03_Pin","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",169.5833,-48.4500,0.0000,top
"J17","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",195.2500,-57.1000,0.0000,top
"J18","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",24.9750,-169.4750,0.0000,top
"J19","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",181.1667,-57.1000,0.0000,top
"J21","Conn_01x05","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",37.7000,-25.8000,0.0000,top
"J24","HR911130A","HR911130A",31.6000,-126.2550,90.0000,top
"J26","xcore","xcore",59.6000,-149.6000,0.0000,top
"J27","Conn_01x02_Pin","HC-HY-2A_C2845460",194.1000,-48.1000,0.0000,top
"J28","AF 90 WJDG","USB_A_Molex_67643_Horizontal",187.5400,-100.6000,90.0000,top
"J31","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",52.2750,-178.8750,270.0000,top
"J32","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",52.2800,-182.9250,270.0000,top
"J33","Molex 470531000","FanPinHeader_1x04_P2.54mm_Vertical",128.3000,-118.2000,270.0000,top
"J34","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",174.7000,-120.3750,0.0000,top
"J40","Conn_01x02_Pin","HC-HY-2A_C2845460",183.5500,-48.1000,0.0000,top
"L1","6.8uH","L_Sunlord_MWSA1004S",164.0000,-99.0000,0.0000,top
"L3","22uH","L_Sunlord_MWSA1004S",152.6000,-120.0000,0.0000,top
"L4","10uH","L_Sunlord_MWSA1004S",169.0000,-73.2500,0.0000,top
"M1","Fan","PinHeader_1x02_P2.54mm_Vertical",92.9750,-186.6725,90.0000,top
"Q1","BSS138","SOT-23",182.6750,-141.4300,270.0000,top
"Q4","BSS138","SOT-23",105.0000,-186.7000,0.0000,top
"Q6","BSC0702LS","TDSON-8-1",158.8650,-67.6000,0.0000,top
"Q7","BSC0702LS","TDSON-8-1",158.8500,-75.0150,0.0000,top
"Q8","BSC0702LS","TDSON-8-1",179.1000,-77.4000,180.0000,top
"Q9","BSC0702LS","TDSON-8-1",179.9000,-70.7500,90.0000,top
"R1","10k","R_0603_1608Metric",193.2000,-109.4500,90.0000,top
"R2","10k","R_0603_1608Metric",41.7000,-159.5750,270.0000,top
"R3","10k","R_0603_1608Metric",187.4000,-109.8500,90.0000,top
"R4","10k","R_0603_1608Metric",41.7000,-162.6250,270.0000,top
"R5","1M","R_0805_2012Metric",23.9375,-158.8875,0.0000,top
"R8","0R","R_0805_2012Metric",27.5375,-158.9000,180.0000,top
"R11","300R","R_0603_1608Metric",43.5000,-136.3805,270.0000,top
"R12","300R","R_0603_1608Metric",43.5000,-149.8805,270.0000,top
"R13","300R","R_0603_1608Metric",33.3500,-115.8550,180.0000,top
"R14","300R","R_0603_1608Metric",43.5000,-132.6305,270.0000,top
"R16","100k","R_0805_2012Metric",147.0000,-104.0000,180.0000,top
"R17","100k 0.1%","R_0603_1608Metric",147.0000,-100.0000,0.0000,top
"R18","25k 0.1%","R_0603_1608Metric",145.0000,-97.0000,90.0000,top
"R19","1k","R_0805_2012Metric",172.8375,-108.3000,180.0000,top
"R20","47kR","R_0603_1608Metric",199.2000,-75.0000,90.0000,top
"R21","100k","R_0603_1608Metric",198.4500,-78.8500,180.0000,top
"R23","15k 0.1%","R_0603_1608Metric",198.4000,-71.0500,0.0000,top
"R24","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.7000,-146.2500,270.0000,top
"R25","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.7500,-146.2500,90.0000,top
"R26","0R","R_0805_2012Metric",150.8500,-92.9500,90.0000,top
"R27","10k","R_0603_1608Metric",147.4000,-137.7500,90.0000,top
"R28","10k","R_0603_1608Metric",134.9500,-149.1500,0.0000,top
"R29","10k","R_0603_1608Metric",146.9000,-147.7500,270.0000,top
"R30","10k","R_0603_1608Metric",131.6000,-156.0500,90.0000,top
"R31","10k","R_0603_1608Metric",130.0000,-156.0750,90.0000,top
"R32","10k","R_0603_1608Metric",134.3500,-153.4000,90.0000,top
"R33","249kR 0.1%","R_0603_1608Metric",196.0000,-70.2000,270.0000,top
"R34","10k","R_0603_1608Metric",195.2000,-109.0500,90.0000,top
"R35","10k","R_0603_1608Metric",196.8000,-109.0500,90.0000,top
"R36","10k","R_0603_1608Metric",133.9500,-144.0000,0.0000,top
"R37","10k","R_0603_1608Metric",130.8750,-144.0000,180.0000,top
"R38","10k","R_0603_1608Metric",142.8000,-163.5500,0.0000,top
"R39","10k","R_0603_1608Metric",142.8000,-161.9500,0.0000,top
"R40","10k","R_0603_1608Metric",142.8000,-160.3500,0.0000,top
"R41","10k","R_0603_1608Metric",186.0500,-178.9500,180.0000,top
"R42","10k","R_0603_1608Metric",146.6500,-161.9500,0.0000,top
"R43","10k","R_0603_1608Metric",146.6500,-160.3500,0.0000,top
"R44","20k","R_0805_2012Metric",136.6000,-122.4000,270.0000,top
"R45","2.2k","R_0805_2012Metric",135.9000,-125.3000,180.0000,top
"R46","10k","R_0603_1608Metric",134.7000,-122.6000,90.0000,top
"R47","10k","R_0603_1608Metric",187.7500,-50.0000,90.0000,top
"R48","10k","R_0603_1608Metric",148.5000,-147.7500,270.0000,top
"R49","10k","R_0603_1608Metric",137.2000,-148.4000,270.0000,top
"R50","10k","R_0603_1608Metric",145.3000,-146.9000,90.0000,top
"R51","10k","R_0603_1608Metric",142.8000,-165.1500,0.0000,top
"R53","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",108.4000,-186.7000,270.0000,top
"R54","33k 0.1%","R_0603_1608Metric",147.5000,-85.3000,0.0000,top
"R55","2k7 0.1%","R_0603_1608Metric",147.5000,-87.0000,180.0000,top
"R56","32k4 0.1%","R_0603_1608Metric",138.6000,-109.8000,0.0000,top
"R57","3k24 0.1%","R_0603_1608Metric",138.6000,-111.6500,180.0000,top
"R58","2.2k","R_0805_2012Metric",178.0000,-139.8500,180.0000,top
"R59","2.2k","R_0805_2012Metric",124.8000,-177.9500,90.0000,top
"R60","10k","R_0603_1608Metric",139.1000,-161.9500,0.0000,top
"R61","10k","R_0603_1608Metric",139.1000,-160.3500,0.0000,top
"R62","10k","R_0603_1608Metric",138.3100,-172.3500,90.0000,top
"R63","10k","R_0603_1608Metric",139.1000,-163.5500,0.0000,top
"R64","10k","R_0603_1608Metric",126.2000,-144.6500,0.0000,top
"R65","10k","R_0603_1608Metric",134.4000,-146.4750,90.0000,top
"R66","0R","R_0805_2012Metric",189.4000,-86.6500,270.0000,top
"R67","5mR","R_2512_6332Metric",167.2000,-81.5000,0.0000,top
"R68","10R","R_0603_1608Metric",192.4500,-67.9000,270.0000,top
"R69","10R","R_0603_1608Metric",194.0500,-67.9000,270.0000,top
"R70","10k","R_0603_1608Metric",127.0000,-142.8000,0.0000,top
"R71","220kR 0.1%","R_0603_1608Metric",198.4000,-72.6000,0.0000,top
"R74","133kR","R_0603_1608Metric",197.6000,-82.6000,0.0000,top
"R75","10k","R_0603_1608Metric",198.4500,-77.3000,0.0000,top
"R76","10k","R_0603_1608Metric",198.4000,-109.0500,90.0000,top
"R77","10k","R_0603_1608Metric",123.8500,-143.9000,90.0000,top
"R78","1k","R_0603_1608Metric",48.9000,-160.9000,270.0000,top
"R79","1k","R_0603_1608Metric",45.7000,-164.9750,270.0000,top
"U1","TPS2065CDBV","SOT-23-5",190.3000,-109.2500,180.0000,top
"U2","TPS2065CDBV","SOT-23-5",39.1000,-160.0000,270.0000,top
"U3","MAX98357A","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",28.0625,-162.4500,270.0000,top
"U4","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",141.6000,-123.5000,0.0000,top
"U5","LM76005RNPR","LM76005RNPR",153.0000,-102.0000,270.0000,top
"U6","TPS2061C","SOT-23-5",150.2000,-138.0000,90.0000,top
"U7","M24C02-WMN","SOIC-8_3.9x4.9mm_P1.27mm",180.4000,-179.6000,270.0000,top
"U11","SN74LVC07ADBR","SN74LVC07ADBR_C2676799",130.2000,-149.5000,0.0000,top
"U12","SN74LVC07ADBR","SN74LVC07ADBR_C2676799",141.2000,-149.5000,0.0000,top
"U14","Fuse Holder","Dummy",124.7000,-44.0850,0.0000,top
"U15","Fuse Holder","Dummy",139.7000,-44.0850,0.0000,top
"U16","Fuse Holder","Dummy",124.7000,-53.4850,0.0000,top
"U17","Fuse Holder","Dummy",139.7000,-53.4850,0.0000,top
"U18","2.54mm 2x2 socket","Dummy",29.2000,-66.0500,0.0000,top
"U19","2.54mm 2x2 socket","Dummy",70.6850,-66.0500,0.0000,top
"U20","2.54mm 2x2 socket","Dummy",112.1000,-66.0500,0.0000,top
"U21","2.54mm 2x2 socket","Dummy",44.4000,-66.0500,0.0000,top
"U22","2.54mm 2x2 socket","Dummy",78.2850,-66.0500,0.0000,top
"U23","2.54mm 2x2 socket","Dummy",119.7000,-66.0500,0.0000,top
"U24","2.54mm 2x2 socket","Dummy",36.8000,-66.0500,0.0000,top
"U25","2.54mm 2x2 socket","Dummy",85.8850,-66.0500,0.0000,top
"U26","2.54mm 2x2 socket","Dummy",127.3000,-66.0500,0.0000,top
"U27","BQ25756RRVR","BQ25756RRVR",193.1500,-77.0000,180.0000,top
"U28","Fuse 2A","Dummy",132.2000,-44.1000,0.0000,top
"U29","Fuse 2A","Dummy",132.2000,-53.4500,0.0000,top
"U30","2.54mm 1x6 socket","Dummy",24.1000,-71.1500,90.0000,top
"U31","2.54mm 1x6 socket","Dummy",90.8850,-71.1000,90.0000,top
"U32","2.54mm 1x6 socket","Dummy",132.3000,-71.1000,90.0000,top
"U33","2.54mm 1x6 socket","Dummy",49.4000,-71.1000,90.0000,top
"U34","2.54mm 1x6 socket","Dummy",65.5850,-71.1500,90.0000,top
"U35","2.54mm 1x6 socket","Dummy",107.0000,-71.1500,90.0000,top
"U36","2.54mm 1x9 socket","Dummy",24.1000,-100.3400,90.0000,top
"U37","2.54mm 1x9 socket","Dummy",65.5850,-100.3400,90.0000,top
"U38","2.54mm 1x9 socket","Dummy",107.0000,-100.3400,90.0000,top
"U39","2.54mm 1x5 socket","Dummy",49.5000,-105.4200,90.0000,top
"U40","2.54mm 1x5 socket","Dummy",90.9850,-105.4200,90.0000,top
"U41","2.54mm 1x5 socket","Dummy",132.4000,-105.4200,90.0000,top
